input_doi,matched_doi,confidence
10.48550/arxiv.0811.2085,10.1051/0004-6361:200810558,0.9718
10.48550/arxiv.1904.06469,10.7566/jpsj.88.084703,0.9855
10.48550/arxiv.cond-mat/0210469,10.1103/physrevlett.90.107001,0.8466
10.48550/arxiv.2401.11431,10.1109/access.2024.3522972,1.0000
10.48550/arxiv.0911.3977,10.1088/0954-3899/37/7/075013,0.9366
10.48550/arxiv.2205.15945,10.1088/1742-6596/2249/1/012020,1.0000
10.48550/arxiv.2008.10494,10.1016/j.colsurfa.2020.125487,1.0000
10.48550/arxiv.1810.06039,10.1016/j.matpur.2020.06.009,1.0000
10.48550/arxiv.1407.7535,10.1103/physrevlett.114.100601,1.0000
10.48550/arxiv.1307.2558,10.1103/physrevlett.111.123601,1.0000
10.48550/arxiv.1906.09256,10.1214/20-sts817,0.9558
10.48550/arxiv.2010.03838,,
10.48550/arxiv.1110.1071,10.1007/s00601-011-0286-x,1.0000
10.48550/arxiv.1310.4070,10.1103/physreve.88.062148,0.9581
10.48550/arxiv.nucl-th/0611013,10.1016/j.nuclphysa.2007.03.043,1.0000
10.48550/arxiv.1904.00456,10.1007/jhep09(2019)077,0.9723
10.48550/arxiv.quant-ph/0201134,10.1103/physrevlett.88.017903,0.8824
10.48550/arxiv.2107.06160,10.1088/1475-7516/2021/11/053,1.0000
10.48550/arxiv.1911.03767,10.1016/j.jmaa.2021.125104,1.0000
10.48550/arxiv.1504.04444,10.1007/jhep08(2015)059,1.0000
10.48550/arxiv.math-ph/0205021,10.1088/0305-4470/35/35/307,0.9860
10.48550/arxiv.1808.10014,10.1007/jhep03(2019)015,1.0000
10.48550/arxiv.2007.04392,10.1134/s0202289320030081,1.0000
10.48550/arxiv.2110.14974,10.1016/j.icarus.2021.114529,1.0000
10.48550/arxiv.1612.09121,10.1109/tpami.2019.2912599,0.9765
10.48550/arxiv.1907.06325,10.1017/etds.2021.8,1.0000
10.48550/arxiv.2106.07332,10.1007/jhep11(2021)147,0.9964
10.48550/arxiv.1808.10043,10.1103/physrevb.98.214509,0.8791
10.48550/arxiv.2310.03590,10.1103/physreve.109.045204,0.9951
10.48550/arxiv.2205.05953,10.3389/frsip.2022.917684,0.9939
10.48550/arxiv.1804.01749,10.21468/scipostphys.5.4.035,1.0000
10.48550/arxiv.hep-ph/9912358,10.1016/s0146-6410(00)00102-2,1.0000
10.48550/arxiv.1509.09186,10.1088/0004-637x/813/2/113,1.0000
