run_number,min_score,max_score_diff,weight_year,weight_title,weight_author,F0.5,F1,F1.5,FN,FP,Positive Predictions,Positive References,Precision,Recall,TP
167,0.9,0.03,0.3,2.2,1.0,0.9598214285714287,0.9197860962566845,0.8958333333333335,13,1,87,100,0.9885057471264368,0.86,86
168,0.9,0.03,0.3,2.2,1.2,0.9598214285714287,0.9197860962566845,0.8958333333333335,13,1,87,100,0.9885057471264368,0.86,86
169,0.9,0.03,0.3,2.4,0.8,0.9684684684684686,0.924731182795699,0.8987138263665595,14,0,86,100,1.0,0.86,86
170,0.9,0.03,0.3,2.4,1.0,0.9684684684684686,0.924731182795699,0.8987138263665595,14,0,86,100,1.0,0.86,86
171,0.9,0.03,0.3,2.4,1.2,0.9598214285714287,0.9197860962566845,0.8958333333333335,13,1,87,100,0.9885057471264368,0.86,86
172,0.9,0.03,0.4,2.0,0.8,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
173,0.9,0.03,0.4,2.0,1.0,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
174,0.9,0.03,0.4,2.0,1.2,0.9606481481481479,0.9071038251366119,0.8758116883116882,17,0,83,100,1.0,0.83,83
175,0.9,0.03,0.4,2.2,0.8,0.9579439252336449,0.9010989010989011,0.8680781758957655,18,0,82,100,1.0,0.82,82
176,0.9,0.03,0.4,2.2,1.0,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
177,0.9,0.03,0.4,2.2,1.2,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
178,0.9,0.03,0.4,2.4,0.8,0.9579439252336449,0.9010989010989011,0.8680781758957655,18,0,82,100,1.0,0.82,82
179,0.9,0.03,0.4,2.4,1.0,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
180,0.9,0.03,0.4,2.4,1.2,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
181,0.9,0.03,0.5,2.0,0.8,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
182,0.9,0.03,0.5,2.0,1.0,0.949074074074074,0.8961748633879781,0.8652597402597402,17,1,83,100,0.9879518072289156,0.82,82
183,0.9,0.03,0.5,2.0,1.2,0.9606481481481479,0.9071038251366119,0.8758116883116882,17,0,83,100,1.0,0.83,83
